problem,dim,particles,c1,c2,generations,best_fitness,runtime_ms
4,20,200,0.8,1.2,1000,-19907.7,183.88
4,20,200,0.8,1.2,1000,-20405.2,184.372
4,20,200,0.8,1.2,1000,-20041.9,227.968
4,20,200,0.8,1.2,1000,-21882.2,182.764
4,20,200,0.8,1.2,1000,-22446.6,176.265
4,20,200,0.8,1.2,1000,-16144,180.339
4,20,200,0.8,1.2,1000,-24222.6,189.678
4,20,200,0.8,1.2,1000,-18848.6,187.618
4,20,200,0.8,1.2,1000,-18685.5,180.2
4,20,200,0.8,1.2,1000,-13750.3,187.112
4,20,200,0.8,1.2,1000,-20876.7,187.748
4,20,200,0.8,1.2,1000,-18463.5,183.779
4,20,200,0.8,1.2,1000,-19380.4,180.672
4,20,200,0.8,1.2,1000,-22600.4,183.003
4,20,200,0.8,1.2,1000,-19745.1,267.307
4,20,200,0.8,1.2,1000,-18328.8,179.004
5,20,200,0.8,1.2,1000,1.13064,203.528
5,20,200,0.8,1.2,1000,1.08351,199.136
5,20,200,0.8,1.2,1000,1.11981,194.698
5,20,200,0.8,1.2,1000,1.09428,194.634
5,20,200,0.8,1.2,1000,1.12706,195.84
5,20,200,0.8,1.2,1000,1.12993,198.595
5,20,200,0.8,1.2,1000,1.08188,192.794
5,20,200,0.8,1.2,1000,1.07929,201.089
5,20,200,0.8,1.2,1000,1.16387,194.767
5,20,200,0.8,1.2,1000,1.10764,192.758
5,20,200,0.8,1.2,1000,1.10156,197.737
5,20,200,0.8,1.2,1000,1.14467,199.225
5,20,200,0.8,1.2,1000,1.11422,196.577
5,20,200,0.8,1.2,1000,1.11998,197.956
5,20,200,0.8,1.2,1000,1.17964,201.902
5,20,200,0.8,1.2,1000,1.13141,193.229
5,20,200,0.8,1.2,1000,1.11972,191.991
5,20,200,0.8,1.2,1000,1.12191,193.698
5,20,200,0.8,1.2,1000,1.11833,190.225
5,20,200,0.8,1.2,1000,1.12925,192.097
5,20,200,0.8,1.2,1000,1.12075,193.515
5,20,200,0.8,1.2,1000,1.09141,208.72
5,20,200,0.8,1.2,1000,1.13896,197.334
5,20,200,0.8,1.2,1000,1.10999,191.584
5,20,200,0.8,1.2,1000,1.10494,193.236
5,20,200,0.8,1.2,1000,1.10757,192.762
5,20,200,0.8,1.2,1000,1.10785,192.643
5,20,200,0.8,1.2,1000,1.11053,192.711
5,20,200,0.8,1.2,1000,1.07715,193.385
5,20,200,0.8,1.2,1000,1.11531,191.656
6,20,200,0.8,1.2,1000,-24.9372,176.768
6,20,200,0.8,1.2,1000,-24.4693,174.784
6,20,200,0.8,1.2,1000,-24.8572,175.436
6,20,200,0.8,1.2,1000,-24.5924,175.003
6,20,200,0.8,1.2,1000,-24.3296,174.702
6,20,200,0.8,1.2,1000,-23.9045,174.736
6,20,200,0.8,1.2,1000,-24.3512,174.752
6,20,200,0.8,1.2,1000,-24.0215,175.115
6,20,200,0.8,1.2,1000,-24.1753,175.165
6,20,200,0.8,1.2,1000,-24.0732,176.148
6,20,200,0.8,1.2,1000,-24.4991,175.683
6,20,200,0.8,1.2,1000,-24.941,174.067
6,20,200,0.8,1.2,1000,-24.9084,176.074
6,20,200,0.8,1.2,1000,-24.6437,175.202
6,20,200,0.8,1.2,1000,-24.6347,175.038
6,20,200,0.8,1.2,1000,-24.3333,175.766
6,20,200,0.8,1.2,1000,-24.9134,175.038
6,20,200,0.8,1.2,1000,-24.7965,188.359
6,20,200,0.8,1.2,1000,-23.9647,177.714
6,20,200,0.8,1.2,1000,-23.9483,177.014
6,20,200,0.8,1.2,1000,-24.7053,199.963
6,20,200,0.8,1.2,1000,-24.7054,182.38
6,20,200,0.8,1.2,1000,-25.1417,174.092
6,20,200,0.8,1.2,1000,-25.2437,175.053
6,20,200,0.8,1.2,1000,-24.4758,178.082
6,20,200,0.8,1.2,1000,-24.6191,174.797
6,20,200,0.8,1.2,1000,-24.1327,176.455
6,20,200,0.8,1.2,1000,-24.1769,175.14
6,20,200,0.8,1.2,1000,-24.9455,175.689
6,20,200,0.8,1.2,1000,-23.7663,175.603
7,20,200,0.8,1.2,1000,24.7106,716.841
7,20,200,0.8,1.2,1000,25.5886,712.258
7,20,200,0.8,1.2,1000,26.8277,706.835
7,20,200,0.8,1.2,1000,35.9099,706.364
7,20,200,0.8,1.2,1000,25.8463,704.121
7,20,200,0.8,1.2,1000,23.2135,718.787
7,20,200,0.8,1.2,1000,28.0773,703.859
7,20,200,0.8,1.2,1000,25.3362,705.93
7,20,200,0.8,1.2,1000,25.9763,709.078
7,20,200,0.8,1.2,1000,25.9611,722.625
7,20,200,0.8,1.2,1000,25.739,735.259
7,20,200,0.8,1.2,1000,25.0965,719.744
7,20,200,0.8,1.2,1000,29.5051,689.806
7,20,200,0.8,1.2,1000,27.9094,699.804
7,20,200,0.8,1.2,1000,26.2011,702.869
7,20,200,0.8,1.2,1000,22.3132,722.233
7,20,200,0.8,1.2,1000,22.7632,725.737
7,20,200,0.8,1.2,1000,24.1286,733.108
7,20,200,0.8,1.2,1000,28.5076,708.011
7,20,200,0.8,1.2,1000,37.6273,686.284
7,20,200,0.8,1.2,1000,24.7191,695.765
7,20,200,0.8,1.2,1000,23.3258,729.958
7,20,200,0.8,1.2,1000,27.1612,751.092
7,20,200,0.8,1.2,1000,29.8384,689.343
7,20,200,0.8,1.2,1000,24.139,738.413
7,20,200,0.8,1.2,1000,32.7654,683.366
7,20,200,0.8,1.2,1000,23.7946,711.668
7,20,200,0.8,1.2,1000,41.2225,680.13
7,20,200,0.8,1.2,1000,25.3292,707.163
7,20,200,0.8,1.2,1000,35.4869,688.134
8,20,200,0.8,1.2,1000,-31.0192,286.2
8,20,200,0.8,1.2,1000,-31.7639,287.047
8,20,200,0.8,1.2,1000,-30.7086,290.322
8,20,200,0.8,1.2,1000,-37.6017,298.162
8,20,200,0.8,1.2,1000,-35.5082,288.204
8,20,200,0.8,1.2,1000,-30.0145,287.188
8,20,200,0.8,1.2,1000,-25.2517,287.738
8,20,200,0.8,1.2,1000,-24.3774,287.263
8,20,200,0.8,1.2,1000,-17.6109,286.279
8,20,200,0.8,1.2,1000,-24.3927,286.713
8,20,200,0.8,1.2,1000,-30.9202,288.379
8,20,200,0.8,1.2,1000,-26.3752,288.193
8,20,200,0.8,1.2,1000,-20.8684,288.609
8,20,200,0.8,1.2,1000,-11.654,286.902
8,20,200,0.8,1.2,1000,-27.9944,288.618
8,20,200,0.8,1.2,1000,-22.1752,287.498
8,20,200,0.8,1.2,1000,-31.9395,286.664
8,20,200,0.8,1.2,1000,-14.9878,287.432
8,20,200,0.8,1.2,1000,-27.4486,286.328
8,20,200,0.8,1.2,1000,-32.2231,305.205
8,20,200,0.8,1.2,1000,-22.457,287.577
8,20,200,0.8,1.2,1000,-24.6954,291.832
8,20,200,0.8,1.2,1000,-36.7164,288.199
8,20,200,0.8,1.2,1000,-23.8052,287.369
8,20,200,0.8,1.2,1000,-17.6464,290.983
8,20,200,0.8,1.2,1000,-30.4784,286.928
8,20,200,0.8,1.2,1000,-28.6002,285.746
8,20,200,0.8,1.2,1000,-29.2108,287.286
8,20,200,0.8,1.2,1000,-22.7121,287.425
8,20,200,0.8,1.2,1000,-25.6443,286.503
9,20,200,0.8,1.2,1000,35.3122,677.83
9,20,200,0.8,1.2,1000,51.0998,635.478
9,20,200,0.8,1.2,1000,42.394,648.037
9,20,200,0.8,1.2,1000,41.0807,638.53
9,20,200,0.8,1.2,1000,46.7861,635.493
9,20,200,0.8,1.2,1000,38.9515,631.359
9,20,200,0.8,1.2,1000,45.685,632.404
9,20,200,0.8,1.2,1000,47.7432,631.85
9,20,200,0.8,1.2,1000,44.0989,631.299
9,20,200,0.8,1.2,1000,39.2085,630.265
9,20,200,0.8,1.2,1000,47.8649,653.904
9,20,200,0.8,1.2,1000,50.3071,636.13
9,20,200,0.8,1.2,1000,49.522,631.275
9,20,200,0.8,1.2,1000,45.2713,635.545
9,20,200,0.8,1.2,1000,51.5294,626.676
9,20,200,0.8,1.2,1000,45.5782,630.086
9,20,200,0.8,1.2,1000,46.7825,632.135
9,20,200,0.8,1.2,1000,51.891,633.082
9,20,200,0.8,1.2,1000,48.5992,651.336
9,20,200,0.8,1.2,1000,39.4895,631.381
9,20,200,0.8,1.2,1000,52.7496,631.894
9,20,200,0.8,1.2,1000,47.487,634.305
9,20,200,0.8,1.2,1000,38.9632,634.306
9,20,200,0.8,1.2,1000,45.3649,631.391
9,20,200,0.8,1.2,1000,39.6791,634.529
9,20,200,0.8,1.2,1000,46.8445,637.33
9,20,200,0.8,1.2,1000,50.478,642.79
9,20,200,0.8,1.2,1000,47.9346,657.317
9,20,200,0.8,1.2,1000,47.1503,671.193
9,20,200,0.8,1.2,1000,52.0399,685.171
10,20,200,0.8,1.2,1000,-8172.46,329.817
10,20,200,0.8,1.2,1000,-7014.39,332.671
10,20,200,0.8,1.2,1000,-7611.15,336.55
10,20,200,0.8,1.2,1000,-9857.62,340.473
10,20,200,0.8,1.2,1000,-7466.13,333.872
10,20,200,0.8,1.2,1000,-10111.8,372.07
10,20,200,0.8,1.2,1000,-6891.49,471.749
10,20,200,0.8,1.2,1000,-8332.82,348.808
10,20,200,0.8,1.2,1000,-6503.53,385.142
10,20,200,0.8,1.2,1000,-8689.72,346.335
10,20,200,0.8,1.2,1000,-8900.17,343.447
10,20,200,0.8,1.2,1000,-7732.71,337.63
10,20,200,0.8,1.2,1000,-7423.99,335.078
10,20,200,0.8,1.2,1000,-6790.96,332.757
10,20,200,0.8,1.2,1000,-7989.24,331.016
10,20,200,0.8,1.2,1000,-8594.93,330.571
10,20,200,0.8,1.2,1000,-7795.95,329.78
10,20,200,0.8,1.2,1000,-7755.12,331.669
10,20,200,0.8,1.2,1000,-7560.81,326.983
10,20,200,0.8,1.2,1000,-7534.22,329.732
10,20,200,0.8,1.2,1000,-6301.17,365.897
10,20,200,0.8,1.2,1000,-6963.7,328.721
10,20,200,0.8,1.2,1000,-6909.63,328.104
10,20,200,0.8,1.2,1000,-6370.3,331.905
10,20,200,0.8,1.2,1000,-6528.54,327.214
10,20,200,0.8,1.2,1000,-5699.6,328.994
10,20,200,0.8,1.2,1000,-7876.26,329.016
10,20,200,0.8,1.2,1000,-6244.92,326.674
10,20,200,0.8,1.2,1000,-8112.15,329.696
10,20,200,0.8,1.2,1000,-9030.1,329.903
