strategy,problem,dim,best_fitness,runtime_ms
1,1,30,19.5137,254.039
1,1,30,25.126,257.686
1,1,30,131.96,259.097
1,1,30,6.39551,260.803
1,1,30,191.732,258.168
1,1,30,66.9365,257.561
1,1,30,130.888,281.389
1,1,30,274.731,291.159
1,1,30,387.201,275.988
1,1,30,12.9619,303.794
1,1,30,80.9844,265.26
1,1,30,67.3115,258.643
1,1,30,461.241,256.529
1,1,30,130.034,260.468
1,1,30,190.674,258.329
1,1,30,72.3887,258.154
1,1,30,260.091,257.277
1,1,30,201.924,257.337
1,1,30,118.616,299.022
1,1,30,49.1309,256.69
1,1,30,397.169,258.316
1,1,30,261.325,259.236
1,1,30,158.509,256.133
1,1,30,230.143,261.131
1,1,30,574.919,255.698
1,1,30,403.534,278.123
1,1,30,265.792,264.081
1,1,30,260.839,258.521
1,1,30,170.983,261.341
1,1,30,337.313,258.268
2,1,30,0.00683594,260.648
2,1,30,0.00683594,261.112
2,1,30,0.00683594,261.435
2,1,30,0.00585938,258.076
2,1,30,0.00683594,257.323
2,1,30,0.00683594,262.768
2,1,30,0.00683594,267.833
2,1,30,0.00683594,273.829
2,1,30,0.00683594,269.428
2,1,30,0.00683594,264.582
2,1,30,0.00683594,263.578
2,1,30,0.00683594,262.866
2,1,30,0.00683594,271.948
2,1,30,0.00585938,390.566
2,1,30,0.00683594,349.544
2,1,30,0.00488281,273.386
2,1,30,0.00683594,277.773
2,1,30,0.00488281,271.563
2,1,30,0.00683594,262.764
2,1,30,0.00585938,262.427
2,1,30,0.00683594,262.4
2,1,30,0.00585938,261.702
2,1,30,0.00683594,262.076
2,1,30,0.00683594,264.903
2,1,30,0.00585938,263.107
2,1,30,0.00585938,261.726
2,1,30,0.00683594,262.754
2,1,30,0.0078125,262.832
2,1,30,0.00683594,262.668
2,1,30,0.00585938,261.108
3,1,30,1813.98,275.637
3,1,30,1525.1,267.087
3,1,30,1679.86,260.032
3,1,30,1641.23,261.882
3,1,30,1960.7,259.38
3,1,30,2046.52,259.712
3,1,30,1914.27,261.978
3,1,30,1813.73,260.51
3,1,30,1921.93,259.507
3,1,30,1668.65,260.045
3,1,30,1896.28,258.272
3,1,30,1775.71,261.906
3,1,30,1597.9,258.931
3,1,30,2016.6,259.78
3,1,30,2082.56,258.451
3,1,30,1463.41,259.18
3,1,30,1561.32,262.214
3,1,30,1438.57,301.836
3,1,30,1972.75,267.459
3,1,30,1743.86,269.09
3,1,30,1951.49,259.418
3,1,30,1864.01,259.491
3,1,30,1975.01,260.985
3,1,30,1940.64,260.558
3,1,30,1995.4,259.347
3,1,30,1398.61,260.977
3,1,30,1754.75,259.608
3,1,30,1894.49,261.048
3,1,30,1848.81,260.409
3,1,30,1677.13,260.655
4,1,30,48.0234,263.582
4,1,30,0.810547,264.406
4,1,30,120.31,261.801
4,1,30,97.623,266.255
4,1,30,116.004,263.184
4,1,30,133.069,263.339
4,1,30,118.355,265.794
4,1,30,121.026,282.8
4,1,30,20.6396,264.503
4,1,30,16.9824,262.707
4,1,30,9.0498,266.21
4,1,30,4.49902,264.507
4,1,30,0.746094,263.361
4,1,30,0.212891,263.553
4,1,30,121.774,263.027
4,1,30,116.045,264.97
4,1,30,1.32617,267.172
4,1,30,5.06543,262.206
4,1,30,300.203,263.796
4,1,30,16.3223,262.574
4,1,30,1.99707,266.05
4,1,30,16.2451,263.404
4,1,30,114.818,262.812
4,1,30,0.139648,264.337
4,1,30,15.8535,264.437
4,1,30,0.174805,284.409
4,1,30,6.13379,309.168
4,1,30,0.398438,265.606
4,1,30,0.125977,265.304
4,1,30,351.258,263.514
5,1,30,2.1875,268.12
5,1,30,3.82227,267.14
5,1,30,3.04199,268.721
5,1,30,3.16895,265.936
5,1,30,2.97656,268.4
5,1,30,2.82715,269.463
5,1,30,4.02344,268.119
5,1,30,3.64453,266.155
5,1,30,2.59473,268.175
5,1,30,3.8916,268.185
5,1,30,2.76855,268.612
5,1,30,3.33984,266.634
5,1,30,2.7373,275.652
5,1,30,3.10449,281.18
5,1,30,3.96777,271.615
5,1,30,3.72559,268.625
5,1,30,2.33301,269.038
5,1,30,2.80762,270.155
5,1,30,2.75488,266.357
5,1,30,2.5166,268.786
5,1,30,3.04492,266.879
5,1,30,2.00293,266.969
5,1,30,2.70996,270.091
5,1,30,2.88574,266.731
5,1,30,2.60645,268.375
5,1,30,3.58887,267.515
5,1,30,4.06836,267.918
5,1,30,2.81348,268.015
5,1,30,3.39453,268.128
5,1,30,3.37305,267.741
6,1,30,2295.07,322.656
6,1,30,2655.46,306.003
6,1,30,2655.46,305.908
6,1,30,2524.58,337.231
6,1,30,2884.97,307.184
6,1,30,2639.33,309.355
6,1,30,2639.33,306.029
6,1,30,2770.22,313.483
6,1,30,2655.46,321.864
6,1,30,2524.58,307.629
6,1,30,2667.58,309.103
6,1,30,2180.32,307.261
6,1,30,2556.79,310.483
6,1,30,2868.84,305.988
6,1,30,2540.71,307.21
6,1,30,2655.46,319.908
6,1,30,2868.84,316.811
6,1,30,2754.08,305.994
6,1,30,2999.72,306.157
6,1,30,2639.33,308.943
6,1,30,2655.46,307.17
6,1,30,2741.19,307.882
6,1,30,2754.08,305.493
6,1,30,2770.21,304.739
6,1,30,2663.17,307.222
6,1,30,2754.08,306.739
6,1,30,2754.08,307.586
6,1,30,2540.71,306.532
6,1,30,2775.82,306.641
6,1,30,2639.33,307.241
7,1,30,2306.43,309.944
7,1,30,2414.7,326.868
7,1,30,2236.8,310.941
