problem,dim,particles,c1,c2,generations,best_fitness,runtime_ms
1,10,200,0.8,1.2,1000,1152.24,95.495
1,10,200,0.8,1.2,1000,1602.89,95.7627
1,10,200,0.8,1.2,1000,1349.81,95.1788
1,10,200,0.8,1.2,1000,1207.44,94.6821
1,10,200,0.8,1.2,1000,1709.46,95.4806
1,10,200,0.8,1.2,1000,1550.8,95.7019
1,10,200,0.8,1.2,1000,1746.63,97.2783
1,10,200,0.8,1.2,1000,1608.46,94.3997
1,10,200,0.8,1.2,1000,750.922,94.8883
1,10,200,0.8,1.2,1000,1094.1,96.9873
1,10,200,0.8,1.2,1000,1565.94,94.4901
1,10,200,0.8,1.2,1000,1672.48,109.167
1,10,200,0.8,1.2,1000,1590.9,98.7978
1,10,200,0.8,1.2,1000,1846.81,97.6211
1,10,200,0.8,1.2,1000,1785.33,96.7789
1,10,200,0.8,1.2,1000,1827.14,96.8345
1,10,200,0.8,1.2,1000,1329.17,97.3319
1,10,200,0.8,1.2,1000,1549.68,97.2216
1,10,200,0.8,1.2,1000,1375.2,94.7967
1,10,200,0.8,1.2,1000,2223.24,134.114
1,10,200,0.8,1.2,1000,1503.56,102.089
1,10,200,0.8,1.2,1000,1406.63,102.439
1,10,200,0.8,1.2,1000,895.743,126.866
1,10,200,0.8,1.2,1000,934.027,111.216
1,10,200,0.8,1.2,1000,882.917,104.214
1,10,200,0.8,1.2,1000,1092.32,104.017
1,10,200,0.8,1.2,1000,1212.59,97.9671
1,10,200,0.8,1.2,1000,1485.34,97.8151
1,10,200,0.8,1.2,1000,1306.64,95.6671
1,10,200,0.8,1.2,1000,1352.89,95.6599
2,10,200,0.8,1.2,1000,2.36996,23.5323
2,10,200,0.8,1.2,1000,3.1854,21.4964
2,10,200,0.8,1.2,1000,1.21915,22.0705
2,10,200,0.8,1.2,1000,1.65719,21.238
2,10,200,0.8,1.2,1000,2.52739,20.7401
2,10,200,0.8,1.2,1000,1.64963,20.7122
2,10,200,0.8,1.2,1000,1.54365,19.8111
2,10,200,0.8,1.2,1000,1.82208,20.5422
2,10,200,0.8,1.2,1000,1.94635,21.0413
2,10,200,0.8,1.2,1000,2.08361,22.2272
2,10,200,0.8,1.2,1000,2.38672,20.9082
2,10,200,0.8,1.2,1000,2.87526,20.6221
2,10,200,0.8,1.2,1000,1.22877,21.042
2,10,200,0.8,1.2,1000,0.810206,19.9568
2,10,200,0.8,1.2,1000,3.06496,20.5156
2,10,200,0.8,1.2,1000,0.509795,19.8098
2,10,200,0.8,1.2,1000,1.55703,23.0051
2,10,200,0.8,1.2,1000,2.94235,23.7913
2,10,200,0.8,1.2,1000,3.45338,20.9968
2,10,200,0.8,1.2,1000,2.62541,20.592
2,10,200,0.8,1.2,1000,2.45732,20.5918
2,10,200,0.8,1.2,1000,1.85649,20.6766
2,10,200,0.8,1.2,1000,2.58687,20.0594
2,10,200,0.8,1.2,1000,1.68704,22.8674
2,10,200,0.8,1.2,1000,1.5926,21.0887
2,10,200,0.8,1.2,1000,3.6904,20.9282
2,10,200,0.8,1.2,1000,1.92114,20.7485
2,10,200,0.8,1.2,1000,2.07125,21.72
2,10,200,0.8,1.2,1000,2.90462,20.3566
2,10,200,0.8,1.2,1000,2.3322,20.8573
3,10,200,0.8,1.2,1000,432.003,20.982
3,10,200,0.8,1.2,1000,135.889,22.6441
3,10,200,0.8,1.2,1000,409.791,23.0854
3,10,200,0.8,1.2,1000,272.496,21.0921
3,10,200,0.8,1.2,1000,226.521,21.6822
3,10,200,0.8,1.2,1000,835.753,21.7576
3,10,200,0.8,1.2,1000,620.848,21.7125
3,10,200,0.8,1.2,1000,208.368,20.6475
3,10,200,0.8,1.2,1000,282.081,21.0879
3,10,200,0.8,1.2,1000,207.487,21.9847
3,10,200,0.8,1.2,1000,142.584,21.2467
3,10,200,0.8,1.2,1000,491.882,21.5064
3,10,200,0.8,1.2,1000,285.573,21.1215
3,10,200,0.8,1.2,1000,559.115,22.5676
3,10,200,0.8,1.2,1000,676.748,20.69
3,10,200,0.8,1.2,1000,3489.22,24.1137
3,10,200,0.8,1.2,1000,583.033,22.6725
3,10,200,0.8,1.2,1000,278.349,22.7433
3,10,200,0.8,1.2,1000,554.328,24.8362
3,10,200,0.8,1.2,1000,493.257,22.2933
3,10,200,0.8,1.2,1000,327.673,22.2732
3,10,200,0.8,1.2,1000,162.446,22.9088
3,10,200,0.8,1.2,1000,214.215,21.926
3,10,200,0.8,1.2,1000,223.223,22.7639
3,10,200,0.8,1.2,1000,387.638,24.1674
3,10,200,0.8,1.2,1000,324.12,22.9341
3,10,200,0.8,1.2,1000,952.784,21.9644
3,10,200,0.8,1.2,1000,457.336,22.9678
3,10,200,0.8,1.2,1000,559.301,27.4104
3,10,200,0.8,1.2,1000,238.364,31.3838
4,10,200,0.8,1.2,1000,-7197.59,88.3841
4,10,200,0.8,1.2,1000,-7751.21,88.217
4,10,200,0.8,1.2,1000,-6614.71,90.4611
4,10,200,0.8,1.2,1000,-8106.93,87.7894
4,10,200,0.8,1.2,1000,-7708.73,89.3602
4,10,200,0.8,1.2,1000,-7795,89.077
4,10,200,0.8,1.2,1000,-7651.19,90.3941
4,10,200,0.8,1.2,1000,-7106.82,102.195
4,10,200,0.8,1.2,1000,-8097.35,96.0808
4,10,200,0.8,1.2,1000,-8114.58,88.7557
4,10,200,0.8,1.2,1000,-7387.93,91.2825
4,10,200,0.8,1.2,1000,-7397.33,90.2247
4,10,200,0.8,1.2,1000,-7756.33,87.4786
4,10,200,0.8,1.2,1000,-7887.87,88.4571
4,10,200,0.8,1.2,1000,-7940.65,91.4829
4,10,200,0.8,1.2,1000,-6729.31,93.7491
4,10,200,0.8,1.2,1000,-7777.62,88.213
4,10,200,0.8,1.2,1000,-8240.56,89.7341
4,10,200,0.8,1.2,1000,-7436.33,94.1042
4,10,200,0.8,1.2,1000,-7434.67,90.9261
4,10,200,0.8,1.2,1000,-7608.67,88.448
4,10,200,0.8,1.2,1000,-7228.23,91.3854
4,10,200,0.8,1.2,1000,-7624.03,93.751
4,10,200,0.8,1.2,1000,-7522.21,91.0048
4,10,200,0.8,1.2,1000,-7841.55,89.9443
4,10,200,0.8,1.2,1000,-8057.93,93.2635
4,10,200,0.8,1.2,1000,-7345.62,95.0596
4,10,200,0.8,1.2,1000,-7536.73,88.7594
4,10,200,0.8,1.2,1000,-8308.45,88.5446
4,10,200,0.8,1.2,1000,-7581.78,90.5087
5,10,200,0.8,1.2,1000,0.579942,98.5237
5,10,200,0.8,1.2,1000,0.559207,103.519
5,10,200,0.8,1.2,1000,0.745205,101.503
5,10,200,0.8,1.2,1000,0.723346,100.766
5,10,200,0.8,1.2,1000,0.529164,99.5262
5,10,200,0.8,1.2,1000,0.631475,96.592
5,10,200,0.8,1.2,1000,0.659162,99.3345
5,10,200,0.8,1.2,1000,0.693074,98.3509
5,10,200,0.8,1.2,1000,0.707164,98.9304
5,10,200,0.8,1.2,1000,0.649789,100.028
5,10,200,0.8,1.2,1000,0.630587,125.035
5,10,200,0.8,1.2,1000,0.76607,110.286
5,10,200,0.8,1.2,1000,0.566905,150.939
5,10,200,0.8,1.2,1000,0.747329,109.785
5,10,200,0.8,1.2,1000,0.540644,102.9
5,10,200,0.8,1.2,1000,0.771782,100.831
5,10,200,0.8,1.2,1000,0.633023,107.252
5,10,200,0.8,1.2,1000,0.783722,112.776
5,10,200,0.8,1.2,1000,0.565603,101.471
5,10,200,0.8,1.2,1000,0.711014,100.771
5,10,200,0.8,1.2,1000,0.588053,102.8
5,10,200,0.8,1.2,1000,0.612252,99.3642
5,10,200,0.8,1.2,1000,0.663098,107.965
5,10,200,0.8,1.2,1000,0.588524,110.01
5,10,200,0.8,1.2,1000,0.685813,104.155
5,10,200,0.8,1.2,1000,0.761431,101.418
5,10,200,0.8,1.2,1000,0.587143,100.445
5,10,200,0.8,1.2,1000,0.758533,101.702
5,10,200,0.8,1.2,1000,0.675695,102.603
5,10,200,0.8,1.2,1000,0.467372,99.252
6,10,200,0.8,1.2,1000,-12.7476,86.8507
6,10,200,0.8,1.2,1000,-12.7237,86.7249
6,10,200,0.8,1.2,1000,-12.4717,86.2869
6,10,200,0.8,1.2,1000,-12.6303,89.1918
6,10,200,0.8,1.2,1000,-12.4426,87.6266
6,10,200,0.8,1.2,1000,-12.3741,87.2285
6,10,200,0.8,1.2,1000,-12.8135,86.6856
6,10,200,0.8,1.2,1000,-12.946,87.3828
6,10,200,0.8,1.2,1000,-12.6585,87.5991
6,10,200,0.8,1.2,1000,-12.8529,86.16
6,10,200,0.8,1.2,1000,-11.9992,86.4815
6,10,200,0.8,1.2,1000,-12.6902,87.777
6,10,200,0.8,1.2,1000,-12.8275,87.9311
6,10,200,0.8,1.2,1000,-12.4387,85.683
6,10,200,0.8,1.2,1000,-12.5348,87.4954
6,10,200,0.8,1.2,1000,-12.7936,87.1495
6,10,200,0.8,1.2,1000,-12.5428,87.5654
6,10,200,0.8,1.2,1000,-12.7147,86.9874
6,10,200,0.8,1.2,1000,-12.527,86.6058
6,10,200,0.8,1.2,1000,-12.7374,88.1427
6,10,200,0.8,1.2,1000,-12.4526,87.0229
6,10,200,0.8,1.2,1000,-12.7061,87.5829
6,10,200,0.8,1.2,1000,-12.8242,86.2849
6,10,200,0.8,1.2,1000,-12.6016,88.4269
6,10,200,0.8,1.2,1000,-12.5006,85.1134
6,10,200,0.8,1.2,1000,-12.6929,86.6601
6,10,200,0.8,1.2,1000,-12.7563,87.4363
6,10,200,0.8,1.2,1000,-12.6177,89.3448
6,10,200,0.8,1.2,1000,-12.5078,90.3077
6,10,200,0.8,1.2,1000,-12.7205,87.4585
7,10,200,0.8,1.2,1000,9.43274,349.695
7,10,200,0.8,1.2,1000,10.0796,346.05
7,10,200,0.8,1.2,1000,9.65648,336.263
7,10,200,0.8,1.2,1000,9.42841,366.316
7,10,200,0.8,1.2,1000,9.28336,349.483
7,10,200,0.8,1.2,1000,10.001,337.674
7,10,200,0.8,1.2,1000,9.61703,341.851
7,10,200,0.8,1.2,1000,9.98654,397.093
7,10,200,0.8,1.2,1000,11.1392,338.189
