problem,dim,particles,c1,c2,generations,best_fitness,runtime_ms
1,30,200,0.8,1.2,1000,6408.46,301.109
1,30,200,0.8,1.2,1000,6059.79,302.524
1,30,200,0.8,1.2,1000,6789.5,301.058
1,30,200,0.8,1.2,1000,5014.52,302.365
1,30,200,0.8,1.2,1000,6618.52,362.005
1,30,200,0.8,1.2,1000,6960.87,375.76
1,30,200,0.8,1.2,1000,7532.8,300.978
1,30,200,0.8,1.2,1000,5563.78,293.683
1,30,200,0.8,1.2,1000,6082.67,289.414
1,30,200,0.8,1.2,1000,6533.72,291.548
1,30,200,0.8,1.2,1000,6840.44,299.403
1,30,200,0.8,1.2,1000,4814.42,295.792
1,30,200,0.8,1.2,1000,6559.1,298.296
1,30,200,0.8,1.2,1000,6693.3,306.404
1,30,200,0.8,1.2,1000,5699.82,298.037
1,30,200,0.8,1.2,1000,7008.35,299.016
1,30,200,0.8,1.2,1000,5588.5,293.173
1,30,200,0.8,1.2,1000,6089.88,294.29
1,30,200,0.8,1.2,1000,6002.14,296.776
1,30,200,0.8,1.2,1000,5744.92,292.65
1,30,200,0.8,1.2,1000,5564.69,295.502
1,30,200,0.8,1.2,1000,6009.87,295.95
1,30,200,0.8,1.2,1000,6425.52,295.296
1,30,200,0.8,1.2,1000,6424.25,295.51
1,30,200,0.8,1.2,1000,5999.68,294.463
1,30,200,0.8,1.2,1000,5444.84,293.754
1,30,200,0.8,1.2,1000,5509.56,296.846
1,30,200,0.8,1.2,1000,6210.1,299.696
1,30,200,0.8,1.2,1000,5893.6,305.651
1,30,200,0.8,1.2,1000,5093.58,314.368
2,30,200,0.8,1.2,1000,44.7739,81.8081
2,30,200,0.8,1.2,1000,51.0257,69.0224
2,30,200,0.8,1.2,1000,61.9133,64.7703
2,30,200,0.8,1.2,1000,37.7097,66.5579
2,30,200,0.8,1.2,1000,50.197,69.0917
2,30,200,0.8,1.2,1000,53.0898,64.722
2,30,200,0.8,1.2,1000,60.4268,63.2109
2,30,200,0.8,1.2,1000,62.2495,65.2585
2,30,200,0.8,1.2,1000,36.4721,65.5473
2,30,200,0.8,1.2,1000,52.9707,104.667
2,30,200,0.8,1.2,1000,54.5801,65.9939
2,30,200,0.8,1.2,1000,53.2013,66.4662
2,30,200,0.8,1.2,1000,57.148,65.0893
2,30,200,0.8,1.2,1000,61.8473,63.5257
2,30,200,0.8,1.2,1000,64.3903,64.8508
2,30,200,0.8,1.2,1000,56.5906,66.7828
2,30,200,0.8,1.2,1000,50.7864,67.7374
2,30,200,0.8,1.2,1000,51.9088,67.5551
2,30,200,0.8,1.2,1000,60.5596,70.0578
2,30,200,0.8,1.2,1000,49.5103,68.537
2,30,200,0.8,1.2,1000,57.1508,67.1693
2,30,200,0.8,1.2,1000,63.7519,64.2532
2,30,200,0.8,1.2,1000,51.1432,64.1879
2,30,200,0.8,1.2,1000,46.8821,70.1763
2,30,200,0.8,1.2,1000,59.4246,69.19
2,30,200,0.8,1.2,1000,42.9693,65.9315
2,30,200,0.8,1.2,1000,54.2666,63.4862
2,30,200,0.8,1.2,1000,45.964,65.9311
2,30,200,0.8,1.2,1000,69.7743,64.7406
2,30,200,0.8,1.2,1000,58.6726,70.7727
3,30,200,0.8,1.2,1000,34938.5,75.0488
3,30,200,0.8,1.2,1000,50982.5,67.9197
3,30,200,0.8,1.2,1000,34192.8,69.5451
3,30,200,0.8,1.2,1000,31832.8,69.1131
3,30,200,0.8,1.2,1000,28245.8,69.5741
3,30,200,0.8,1.2,1000,40819.2,73.0704
3,30,200,0.8,1.2,1000,29111.8,70.3416
