strategy,problem,dim,best_fitness,runtime_ms
1,1,10,0,107.875
1,1,10,79.2441,112.815
1,1,10,11.2344,115.55
1,1,10,122.829,141.534
1,1,10,21.9106,110.699
1,1,10,0,110.898
1,1,10,0,123.353
1,1,10,229.6,113.699
1,1,10,1.58691,112.642
1,1,10,119.98,155.367
1,1,10,115.07,128.56
1,1,10,3.33447,114.035
1,1,10,0,112.725
1,1,10,10.4209,111.6
1,1,10,156.561,111.57
1,1,10,114.754,110.869
1,1,10,122.514,109.792
1,1,10,89.9443,111.601
1,1,10,114.754,109.957
1,1,10,0.280762,109.89
1,1,10,133.218,109.507
1,1,10,116.581,109.888
1,1,10,125.847,109.777
1,1,10,0.883301,109.075
1,1,10,259.718,109.334
1,1,10,115.38,109.952
1,1,10,131.771,122.894
1,1,10,348.932,112.212
1,1,10,0,110.48
1,1,10,0,109.016
2,1,10,0,111.231
2,1,10,0,112.37
2,1,10,0,109.486
2,1,10,0,111.371
2,1,10,0,141.196
2,1,10,0,139.413
2,1,10,0,111.788
2,1,10,0,113.221
2,1,10,0,146.885
2,1,10,0,120.531
2,1,10,0,109.569
2,1,10,0,108.694
2,1,10,0,108.74
2,1,10,0,110.481
2,1,10,0,109.508
2,1,10,0,110.876
2,1,10,0,110.015
2,1,10,0,108.781
2,1,10,0,109.627
2,1,10,0,109.7
2,1,10,0,109.842
2,1,10,0,108.876
2,1,10,0,109.888
2,1,10,0,110.334
2,1,10,0,110.819
2,1,10,0,117.305
2,1,10,0,118.734
2,1,10,0,109.302
2,1,10,0,109.598
2,1,10,0,112.738
3,1,10,229.507,107.823
3,1,10,344.266,108.349
3,1,10,121.701,108.041
3,1,10,344.261,107.486
3,1,10,229.51,108.412
3,1,10,231.47,105.896
3,1,10,179.274,109.496
3,1,10,232.439,108.11
3,1,10,230.03,108.706
3,1,10,127.094,107.18
3,1,10,344.261,108.518
3,1,10,116.06,108.05
3,1,10,230.015,107.507
3,1,10,229.507,107.99
3,1,10,344.363,108.129
3,1,10,128.721,120.305
3,1,10,229.607,111.668
3,1,10,344.591,108.421
3,1,10,342.392,107.193
3,1,10,344.261,106.367
3,1,10,345.204,107.388
3,1,10,459.015,108.622
3,1,10,344.261,107.349
3,1,10,344.261,107.101
3,1,10,114.76,108.267
3,1,10,229.51,129.255
3,1,10,232.875,107.392
3,1,10,230.958,108.391
3,1,10,229.941,108.087
3,1,10,344.261,107.156
4,1,10,0,110.864
4,1,10,16.1313,114.879
4,1,10,5.33398,111.187
4,1,10,0.00195312,111.174
4,1,10,22.4116,112.704
4,1,10,0,124.9
4,1,10,136.036,112.406
4,1,10,25.437,120.796
4,1,10,114.754,155.294
4,1,10,0.165527,117.251
4,1,10,0,111.41
4,1,10,114.754,112.679
4,1,10,114.754,110.16
4,1,10,0,110.281
4,1,10,0,126.713
4,1,10,0,113.581
4,1,10,0,111.1
4,1,10,0,111.333
4,1,10,114.754,110.123
4,1,10,56.4946,113.5
