best_fitness,runtime_ms,vector
10622,0,-252.857 -115.386 -356.724 83.3093 85.7274 111.954 -231.633 -185.217 -78.2708 94.1425 490.862 -424.273 289.972 355.641 -228.134 -492.343 -414.761 -105.829 -384.919 250.859 -147.637 -472.739 348.559 311.078 359.026 494.285 7.17737 257.128 186.451 222.768
10684.6,6.6344,-307.18 137.535 115.398 146.516 161.348 58.9318 -77.1722 313.9 -61.7546 -29.6547 162.678 51.0333 -196.651 -139.28 277.518 -393.968 145.753 -334.057 337.389 388.404 239.123 -367.658 224.849 -393.745 285.913 347.73 -459.557 279.514 6.60858 276.852
10793.3,0,-468.976 180.622 323.022 468.721 276.359 -377.675 -178.794 -362.679 189.799 356.398 -176.674 210.375 -469.076 -418.284 323.246 257.913 510.336 315.364 -260.754 145.031 184.29 -88.3233 -429.183 18.4232 87.4922 -138.67 -501.453 -317.586 4.11462 -218.194
9239.21,0,278.426 -431.727 -385.874 246.993 -177.626 -108.105 -455.897 -203.669 -454.418 -182.119 332.809 155.667 306.514 140.551 -157.885 486.921 495.414 -187.627 -24.5252 -86.5414 166.24 323.543 137.776 45.97 -189.557 118.073 -239.901 194.78 309.117 184.659
10597.5,0,-475.422 228.129 352.933 -100.03 -448.288 -376.965 -451.69 348.619 -220.997 113.784 -380.427 -128.906 349.093 -492.337 -44.1493 -166.562 -359.915 183.999 9.61047 -91.861 266.888 -455.465 36.0983 -68.8183 222.141 -216.154 60.4657 -250.04 -435.494 -481.096
11049.7,2.0074,-345.29 278.762 82.3656 56.2431 -202.132 -50.8766 40.4414 -195.074 -442.93 114.807 1.13135 162.89 109.257 240.504 477.704 255.549 -477.164 382.06 -473.228 -353.479 -189.968 293.789 -170.95 -23.1929 279.072 341.407 -49.5489 -492.484 -320.656 -59.516
10580.2,0,138.997 144.838 -464.797 -113.729 -208.926 416.658 -470.271 136.095 178.231 232.825 -33.3263 202.748 -508.413 -462.872 297.811 -151.425 330.169 -204.357 359.46 -397.647 -444.082 -26.252 -427.974 -197.065 117.039 -336.315 -175.576 -419.685 -133.648 -142.515
11130.1,0,-447.302 38.7579 -404.342 459.965 -356.689 240.431 -499.271 -431.616 322.991 -319.227 19.3765 111.918 486.254 -334.003 -435.387 26.8233 -44.1862 -479.282 -324.356 -485.421 55.8074 -496.377 286.511 220.035 117.251 363.641 496.019 94.5972 -423.441 -63.8163
11137.6,2.8416,234.235 -160.519 -271.33 -399.618 82.7726 -61.056 42.887 -79.773 153.55 215.294 -393.991 315.019 -428.945 152.981 71.5709 312.046 274.958 438.498 55.7601 -253.685 -390.715 338.25 -45.472 248.04 109.081 -341.164 -490.073 -246.528 -81.1171 -8.16727
65543.7,0,10.9074 -73.2903 -1.74036 16.1864 -1.68156 -14.8648 -30.3834 3.81779 54.7692 14.449 86.39 -15.9689 70.8327 16.5445 -28.84 -79.4294 12.3638 87.892 93.4394 -46.8872 58.5296 -0.465622 46.3057 2.48161 13.1595 25.3303 1.08819 57.682 -74.9189 -33.5972
